reference,collection_name,dataset_title,normal_cell_count,total_cell_count,author_cell_type,embedding,first_author,journal,year,doi,collection_url,explorer_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url,tissue_ontology_term_id,assay_ontology_term_id,cell_type_ontology_term_id,disease_ontology_term_id,development_stage_ontology_term_id,sex_ontology_term_id,is_primary_data,donor_id_count,tissue_ontology_summary,assay_ontology_summary,cell_type_ontology_summary,disease_ontology_summary,sex_ontology_summary,development_stage_summary
unk,Stress-induced RNA–chromatin interactions promote endothelial dysfunction,,,,,,Calandrelli,Nat Commun,2020,10.1038/s41467-020-18957-w,https://cellxgene.cziscience.com/collections/db468083-041c-41ca-8f6f-bf991a070adf,,endothelial cell,normal,db468083-041c-41ca-8f6f-bf991a070adf,1fa56b68-c9b7-43d6-9f8b-bed1e07d21a5,6cda3b13-7257-45b9-ac20-0a7e6697e4f2,9349c6fb-758d-483d-a9ab-0f0563ba762a,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,CL:0000115,,,PATO:0000461,,,,,,,,,,
unk,Stress-induced RNA–chromatin interactions promote endothelial dysfunction,,,,,,Calandrelli,Nat Commun,2020,10.1038/s41467-020-18957-w,https://cellxgene.cziscience.com/collections/db468083-041c-41ca-8f6f-bf991a070adf,,mesenteric artery,normal | type 2 diabetes mellitus,db468083-041c-41ca-8f6f-bf991a070adf,1fa56b68-c9b7-43d6-9f8b-bed1e07d21a5,42b6a476-c51d-4f8b-b68b-44941b3a11bf,a4a32eaa-9828-4176-b10e-8dd612f73cfb,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,UBERON:0005616,,,PATO:0000461 | MONDO:0005148,,,,,,,,,,
unk,A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,,,,,,Ahern,Cell,2022,10.1016/j.cell.2022.01.012,https://cellxgene.cziscience.com/collections/8f126edf-5405-4731-8374-b5ce11f53e82,,blood,COVID-19 | influenza | normal,8f126edf-5405-4731-8374-b5ce11f53e82,8048e6a4-ac23-4d45-9a1f-30754e704374,ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,687c09ff-731a-4e3d-ac07-4c29c33a6338,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,UBERON:0000178,,,MONDO:0100096 | MONDO:0005812 | PATO:0000461,,,,,,,,,,
unk,Multimodal benchmarking dataset for renal cortex characterization (mBDRC),,,,,,Acera-Mateos,bioRxiv,2025,10.1101/2025.03.06.637075,https://cellxgene.cziscience.com/collections/4cbb929b-b03b-4aa8-a943-00f61dc22641,,cortex of kidney,normal,4cbb929b-b03b-4aa8-a943-00f61dc22641,e7bf443a-ee39-47b6-b066-ec7d7107ffbe,60a29d0b-1a37-4447-ac32-00d701580b47,b6da1a8e-2d81-42e5-b17b-f9c7fee7df65,TRUE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,UBERON:0001225,,,PATO:0000461,,,,,,,,,,
unk,Multimodal benchmarking dataset for renal cortex characterization (mBDRC),,,,,,Acera-Mateos,bioRxiv,2025,10.1101/2025.03.06.637075,https://cellxgene.cziscience.com/collections/4cbb929b-b03b-4aa8-a943-00f61dc22641,,cortex of kidney,normal,4cbb929b-b03b-4aa8-a943-00f61dc22641,e7bf443a-ee39-47b6-b066-ec7d7107ffbe,09b518f9-da64-44cc-aec8-70a89d55611f,a14c154d-b867-4864-b57b-98cd089c8198,TRUE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,UBERON:0001225,,,PATO:0000461,,,,,,,,,,
unk,LungMAP — Human data from a broad age healthy donor group,,,,,,Wang,eLife,2020,10.7554/eLife.62522,https://cellxgene.cziscience.com/collections/625f6bf4-2f33-4942-962e-35243d284837,,lung,normal,625f6bf4-2f33-4942-962e-35243d284837,41222d84-f6cc-4705-be46-1e9aa5502063,3de0ad6d-4378-4f62-b37b-ec0b75a50d94,b1ba366b-d63b-4fdb-8bc6-c3c27dc3bd89,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,UBERON:0002048,,,PATO:0000461,,,,,,,,,,
unk,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19,,,,,,Liu,Cell,2021,10.1016/j.cell.2021.02.018,https://cellxgene.cziscience.com/collections/ed9185e3-5b82-40c7-9824-b2141590c7f0,,blood,COVID-19 | normal,ed9185e3-5b82-40c7-9824-b2141590c7f0,89a03681-3d46-425c-8a2d-50d790002af3,30cd5311-6c09-46c9-94f1-71fe4b91813c,73024e1c-c5e4-48d2-9ca4-49d2f845c8b9,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,UBERON:0000178,,,MONDO:0100096 | PATO:0000461,,,,,,,,,,
unk,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19,,,,,,Liu,Cell,2021,10.1016/j.cell.2021.02.018,https://cellxgene.cziscience.com/collections/ed9185e3-5b82-40c7-9824-b2141590c7f0,,blood,COVID-19 | normal,ed9185e3-5b82-40c7-9824-b2141590c7f0,89a03681-3d46-425c-8a2d-50d790002af3,21d3e683-80a4-4d9b-bc89-ebb2df513dde,e6ef9f09-bf7f-49bf-900c-457c02675411,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,UBERON:0000178,,,MONDO:0100096 | PATO:0000461,,,,,,,,,,
unk,Insulin is expressed by enteroendocrine cells during human fetal development,,,,,,Egozi,Nat Med,2021,10.1038/s41591-021-01586-1,https://cellxgene.cziscience.com/collections/7651ac1a-f947-463a-9223-a9e408a41989,,small intestine,normal,7651ac1a-f947-463a-9223-a9e408a41989,46115989-5366-42bd-93cb-add39a7ec0df,3f32121d-126b-4e8d-9f69-d86502d2a1b1,cece25a7-9d37-4755-bcfb-4e4c1b21d31f,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,UBERON:0002108,,,PATO:0000461,,,,,,,,,,
unk,Single-cell RNA sequencing data of control and VPA-treated dorsal forebrain organoids,,,,,,,,,,https://cellxgene.cziscience.com/collections/c2879de0-affc-496b-8e2b-f57ed9ec3c34,,neocortex,normal,c2879de0-affc-496b-8e2b-f57ed9ec3c34,7d168b67-45f3-4bf3-a509-4b2173b563f0,3a8aec06-3309-4d37-b75d-c59f5f6d55a6,281bf7bb-c74a-4daf-9069-f668e2b52c54,,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,,UBERON:0001950,,,PATO:0000461,,,,,,,,,,
